url,title,description,localImage,image
https://dev.to/remotesynth/what-is-jamstack-in-2024-3kc6,What is Jamstack in 2024? - DEV Community,"All good things must come to an end and so, most likely, must my annual Jamstack update. But what have we lost in the process?. Tagged with webdev, jamstack, javascript.",images/fb29dfd9e2a20ac3e7830a178b81b734603c5661.jpg,"https://media.dev.to/cdn-cgi/image/width=1000,height=500,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.amazonaws.com%2Fuploads%2Farticles%2Frtz1y7p3cdq4oke4vuht.png"
https://jamstack.wtf/,WTF is Jamstack?,"Jamstack has revolutionized the way we build for the web by providing a simpler developer experience, better performance, lower cost, and greater scalability.",images/a85cf070c76f4f0e693a06111be47b2b8a9a53c3.png,https://jamstack.wtf/jamstack-wtf-meta.png/
https://collider.com/fantastic-four-movie-remake-video-superpowers/,New Fantastic Four Movie Footage Shows Heroes' Superpowers,"20th Century Fox has released new Fantastic Four movie footage; the film stars Miles Teller, Kate Mara, Michael B. Jordan, and Jamie Bell.",images/351d234f8b23ae239d0732622aa0675c814c1b5e.jpg,https://static1.colliderimages.com/wordpress/wp-content/uploads/2015/01/fantastic-four-trailer-human-torch-slice.jpg
https://jamstack.wtf/#best-practices,WTF is Jamstack?,"Jamstack has revolutionized the way we build for the web by providing a simpler developer experience, better performance, lower cost, and greater scalability.",images/a85cf070c76f4f0e693a06111be47b2b8a9a53c3.png,https://jamstack.wtf/jamstack-wtf-meta.png/
https://umbraco.com/knowledge-base/jamstack/,"What is Jamstack? JavaScript, APIs, and Markup (JAM)",What does Jamstack mean and how do you use it? Get to know the Jamstack architecture and how it differs from traditional website development,images/52cdf31c0d659472fc3fa3784fe859791326a47e.png,"https://umbraco.com/media/ziikdjap/umbraco_social_og.png?crop=0.0010321753986332466,0.069063888998924364,0,0.0015260460386189473&cropmode=percentage&width=1200&height=628&rnd=132859531448430000"
https://jamstack.org/generators/,Static Site Generators - Top Open Source SSGs | Jamstack,"Check out this showcase of some of the best, open source static site generators. This is community-drive so be sure to submit your favorite today!",images/8549cae79179ab2d1a5bda99cb71f77b8798143f.png,https://www.jamstack.org/img/og/default-og-image.png
https://11ty.rocks/,11ty Rocks!,"A collection of Eleventy (11ty) starters, projects, plugins, and resources created by Stephanie Eckles (@5t3ph).",images/a49817957071ecc180567347bb0de104d01db038.png,https://11ty.rocks/img/previews/home.png
https://almanac.httparchive.org/en/2022/jamstack#introduction,Jamstack | 2022 | The Web Almanac by HTTP Archive,"Jamstack chapter of the 2022 Web Almanac covers quantifying Jamstack sites, the growth of Jamstack, Jamstack-y frameworks and hosting.",images/72913851e3547b40a15c9ea55bee679e9436c5ba.jpg,https://almanac.httparchive.org/static/images/2020/jamstack/hero_lg.jpg
https://cacarer.com/ci-cd-continuous-integration-continuous-delivery-and-continuous-deployment/,"CI/CD – Continuous Integration, Continuous Delivery, and Continuous Deployment",,images/e9b7aafb76f9f150a8c6c60ce4692f1f13e18685.jpg,https://cacarer.com/wp-content/uploads/2021/09/ci-cd.jpg
https://code.visualstudio.com/docs/editor/command-line,The Visual Studio Code command-line interface,Visual Studio Code command-line interface (switches).,images/a3a64accc7f7826fb82730b81792c227b8e445a7.png,https://code.visualstudio.com/opengraphimg/opengraph-docs.png
https://freebiesupply.com/logos/netlify-logo/,Netlify Logo PNG Transparent & SVG Vector - Freebie Supply,The Netlify logo in vector format(svg) and transparent PNG. Available for download.,images/a7a2eac11d522a20986bac79944506961dc5678f.png,https://cdn.freebiesupply.com/logos/thumbs/2x/netlify-logo.png
https://jamstack.org/,For fast and secure sites | Jamstack,"What is the Jamstack? Why use the Jamstack? How do I get started? Learn what the Jamstack is all about and why it's the best approach for building faster, more secure websites.",images/8549cae79179ab2d1a5bda99cb71f77b8798143f.png,https://www.jamstack.org/img/og/default-og-image.png
https://jamstack.org/generators/,Static Site Generators - Top Open Source SSGs | Jamstack,"Check out this showcase of some of the best, open source static site generators. This is community-drive so be sure to submit your favorite today!",images/8549cae79179ab2d1a5bda99cb71f77b8798143f.png,https://www.jamstack.org/img/og/default-og-image.png
https://liquidjs.com/index.html,LiquidJS,"LiquidJS is a simple, expressive and safe Shopify / Github Pages compatible template engine in pure JavaScript.",images/890e4b66ec4541854799cf85f66b1453514c3200.png,https://img.shields.io/github/stars/harttle/liquidjs?style=flat-square
https://marketplace.visualstudio.com/search?term=liquid&target=VSCode&category=All%20categories&sortBy=Relevance,"Search results - liquid | Visual Studio Code , Visual Studio Marketplace",VS Code extensions for Liquid,images/vscodemarketplace.png,
https://snipcart.com/blog/jamstack,The Jamstack in 2022: Why (and How) to Get Started, Jamstack is an architecture in which a website can be delivered statically but provides dynamic content & interactive experience via JS.,images/8affe8c4a77e3753161d26adff6afd4f0770adb8.png,https://www.datocms-assets.com/48401/1648745335-ssg-og.png?auto=format&fit=max&w=1200
https://www.11ty.dev/,"Eleventy, a simpler static site generator","Eleventy, a simpler static site generator",images/e8e3cff024a2fb079fe29a645dd826c971bf9164.jpg,https://v1.screenshot.11ty.dev/https%3A%2F%2Fwww.11ty.dev%2F/opengraph/_cachebust/
https://www.11ty.dev/docs/,Eleventy - Docs,Overview — Eleventy,images/ce0e531da614a19765650f2b30ba26a64ce5c26f.jpg,https://v1.screenshot.11ty.dev/https%3A%2F%2Fwww.11ty.dev%2Fdocs%2F/opengraph/_cachebust/
https://www.11ty.dev/docs/collections/,Collections — Eleventy,"While pagination allows you to iterate over a data set to create multiple templates, a collection allows you to group content in interesting ways. A piece of content can be a part of multiple collections, if you assign the same string value to the tags key in the front matter.",images/71d6fe70f00eb2cc96f27fc0269d918eb0c74684.jpg,https://v1.screenshot.11ty.dev/https%3A%2F%2Fwww.11ty.dev%2Fdocs%2Fcollections%2F/opengraph/_cachebust/
https://www.11ty.dev/docs/config/,Configuration — Eleventy,"Configuration — Eleventy.  Configure your 11ty site with eleventy.config.js.  In your config, you can also add Plugins, Filters, Shortcodes, Custom Tags, JavaScript Functions, custom Collections, and use Advanced Collection Filtering and Sorting.",images/c1e111a7609d099190845388021bece7422eb945.jpg,https://v1.screenshot.11ty.dev/https%3A%2F%2Fwww.11ty.dev%2Fdocs%2Fconfig%2F/opengraph/_cachebust/
https://www.11ty.dev/docs/languages/,Template Languages — Eleventy,"Template Languages — Eleventy:  HTML *.html, Markdown *.md, WebC *.webc, JavaScript *.11ty.js, Liquid *.liquid, Nunjucks *.njk, Handlebars *.hbs, Mustache *.mustache, EJS *.ejs Haml, *.haml Pug *.pug, Custom *.*",images/a1d69178d753c78c1ac54f6c1579c0c6cb5fa05a.jpg,https://v1.screenshot.11ty.dev/https%3A%2F%2Fwww.11ty.dev%2Fdocs%2Flanguages%2F/opengraph/_cachebust/
https://www.11ty.dev/docs/layouts/,Layouts — Eleventy,"Layouts — Eleventy.  Eleventy Layouts are special templates that can be used to wrap other content. To denote that a piece of content should be wrapped in a template, use the layout key in your front matter.",images/069c9f90d5a2d3cc8ef8201d871d74a5ccf93c0f.jpg,https://v1.screenshot.11ty.dev/https%3A%2F%2Fwww.11ty.dev%2Fdocs%2Flayouts%2F/opengraph/_cachebust/
https://www.flaticon.com/free-icons/github,Github Icons & Symbols,"178 github icons. Vector icons in SVG, PSD, PNG, EPS and ICON FONT",images/e7c5283023b2ab09246adefac19400a16ffbf5ab.jpg,https://media.flaticon.com/share/flaticon-generic.jpg
https://nodejs.org/en/download/,Node.js — Download,Node.js® is a JavaScript runtime built on Chrome's V8 JavaScript engine.,images/e9eb045e816aa37170ff97463c77a703a4ba5bfc.png,https://nodejs.org/static/images/logo-hexagon-card.png
https://www.npmjs.com/,npm | Home,,images/ff98e89bc12f4336344bcb82ca2f0b80b9032071.png,https://static-production.npmjs.com/338e4905a2684ca96e08c7780fc68412.png
https://semver.org/,Semantic Versioning 2.0.0 | Semantic Versioning,"Semantic Versioning spec and website.  For MAJOR.MINOR.PATCH version, increment the: MAJOR version for incompatible API changes; MINOR version for backward compatible features changes; PATCH version for backward compatible bug fixes",images/semverorg.png,
https://www.npmjs.com/package/log-util,log-util - npm,"node log utility. Latest version: 2.3.0, last published: 5 years ago. Start using log-util in your project by running `npm i log-util`. There are 28 other projects in the npm registry using log-util.",images/ff98e89bc12f4336344bcb82ca2f0b80b9032071.png,https://static-production.npmjs.com/338e4905a2684ca96e08c7780fc68412.png
https://javascript.info/modules-intro,"Modules, introduction",,images/e7bfc5f5da75965b87a086c69c82504bfd76bb9e.png,https://javascript.info/img/site_preview_en_1200x630.png
https://javascript.info/,The Modern JavaScript Tutorial,"Modern JavaScript Tutorial: simple, but detailed explanations with examples and tasks, including: closures, document and events, object oriented programming and more.",images/e7bfc5f5da75965b87a086c69c82504bfd76bb9e.png,https://javascript.info/img/site_preview_en_1200x630.png
http://www.haneycodes.net/npm-left-pad-have-we-forgotten-how-to-program/,NPM & left-pad: Have We Forgotten How To Program?,"Intro Okay developers, time to have a serious talk. As you are probably already aware, this week React, Babel, and a bunch of other high-profile packages on NPM broke. The reason they broke is rather astounding...",images/900bf9275189f7c271c3693f1b1909ddef2c67b1.jpg,https://www.davidhaney.io/img/me.jpg
https://docs.github.com/en/code-security/security-advisories/global-security-advisories/browsing-security-advisories-in-the-github-advisory-database,Browsing security advisories in the GitHub Advisory Database - GitHub Docs,You can browse the GitHub Advisory Database to find CVEs and GitHub-originated advisories affecting the open source world.,images/f9a35fd0b7f90166c57b04d5f4bfa5b40eab313a.png,https://github.githubassets.com/images/modules/open_graph/github-logo.png
https://www.freecodecamp.org/news/javascript-promise-tutorial-how-to-resolve-or-reject-promises-in-js/,JavaScript Promise Tutorial – How to Resolve or Reject Promises in JS,"Promises are important building blocks for asynchronous operations in JavaScript. You may think that promises are not so easy to understand, learn, and work with. And trust me, you are not alone!  Promises are challenging for many web developers, even after spending years working with them. In this article,",images/6dd22fb7c49668d0be73fa0554f36cb0f7be36c4.png,https://www.freecodecamp.org/news/content/images/2020/11/cover-1.png
https://javascript.info/async-await,Async/await,"There's a special syntax to work with promises in a more comfortable fashion, called “async/await”. It's surprisingly easy to understand and use.",images/e7bfc5f5da75965b87a086c69c82504bfd76bb9e.png,https://javascript.info/img/site_preview_en_1200x630.png
https://javascript.info/promise-basics,Promise,"A promise is a special JavaScript object that links the ""producing code"" and the ""consuming code"" together. The ""producing code"" takes whatever time it needs to produce the promised result, and the ""promise"" makes that result available to all of the subscribed code when it's ready.",images/e7bfc5f5da75965b87a086c69c82504bfd76bb9e.png,https://javascript.info/img/site_preview_en_1200x630.png
https://developer.mozilla.org/en-US/docs/Web/API/URLSearchParams/URLSearchParams,URLSearchParams: URLSearchParams() constructor - Web APIs | MDN,"The URLSearchParams() constructor creates and returns a new URLSearchParams object.",images/7b96b904f10841e580d43a24b3872bc100d0b61f.png,https://developer.mozilla.org/mdn-social-share.cd6c4a5a.png
https://www.11ty.dev/docs/collections/,Collections — Eleventy,"Collections — Eleventy.  While pagination allows you to iterate over a data set to create multiple templates, a collection allows you to group content in interesting ways. A piece of content can be a part of multiple collections, if you assign the same string value to the tags key in the front matter.",images/71d6fe70f00eb2cc96f27fc0269d918eb0c74684.jpg,https://v1.screenshot.11ty.dev/https%3A%2F%2Fwww.11ty.dev%2Fdocs%2Fcollections%2F/opengraph/_cachebust/
https://app.swaggerhub.com/apis/NobelMedia/NobelMasterData/2.1,Nobel Prize Data API documentation via SwaggerHub,Information about the Nobel Prizes and the Nobel Prize Laureates.,images/thenobelprize.webp,
https://developer.mozilla.org/en-US/docs/Web/API/URLSearchParams,URLSearchParams - Web APIs | MDN,The URLSearchParams interface defines utility methods to work with the query string of a URL.,images/7b96b904f10841e580d43a24b3872bc100d0b61f.png,https://developer.mozilla.org/mdn-social-share.cd6c4a5a.png
https://www.11ty.dev/docs/pagination/,Pagination — Eleventy,"Pagination — Eleventy.  Pagination allows you to iterate over a data set and create multiple files from a single template. The input data can be in the form of an array or object defined in your frontmatter or in global data, or you can paginate a collection to make an easily digestible list of your posts.",images/5fc0ab7c1ca2e9e479f8807c3613669bfad85ac4.jpg,https://v1.screenshot.11ty.dev/https%3A%2F%2Fwww.11ty.dev%2Fdocs%2Fpagination%2F/opengraph/_cachebust/
https://liquidjs.com/tags/overview.html,Tags | LiquidJS,Description and demo for each Liquid tag,images/890e4b66ec4541854799cf85f66b1453514c3200.png,
https://liquidjs.com/tags/render.html,Render | LiquidJS,"LiquidJS is a simple, expressive and safe Shopify / Github Pages compatible template engine in pure JavaScript.",images/890e4b66ec4541854799cf85f66b1453514c3200.png,
https://www.11ty.dev/docs/shortcodes/,Template Shortcodes — Eleventy,Template Shortcodes — Eleventy,images/309f95435c249f6a8b34f54199c9f0482da077a9.jpg,https://v1.screenshot.11ty.dev/https%3A%2F%2Fwww.11ty.dev%2Fdocs%2Fshortcodes%2F/opengraph/_cachebust/
https://swapi.dev/documentation,SWAPI - The Star Wars API,,images/6534bc2dc6367ff686f2f0887f5d16bad3e450db.gif,http://i.imgur.com/l02u363.gif
https://swapi.dev/api/planets/,SWAPI - Planets List,,images/planetlist.png,
https://www.apollographql.com/docs/apollo-server/data/resolvers,Resolvers - Apollo GraphQL Docs,How Apollo Server processes GraphQL operations,images/513bf7e2d809c4c9e94e61e7b9455392382f0ead.png,"https://res.cloudinary.com/apollographql/image/upload/w_1280,h_669,c_fill,q_auto,f_auto/w_1120,c_fit,co_rgb:CFD7D6,g_south_west,x_90,y_254,l_text:odyssey:fonts:AeonikBold.otf_80:Resolvers/w_1120,c_fit,co_rgb:B4C0BF,g_north_west,x_90,y_445,l_text:odyssey:fonts:InterRegular.ttf_48:How%20Apollo%20Server%20processes%20GraphQL%20operations/docs-thumbnail_z8ifvw"
https://studio.apollographql.com/public/star-wars-swapi/variant/current/explorer,Star Wars's Graph | GraphOS Studio,,images/33bad1940c06b9397b5836a21db89d1fc48171a2.png,https://media.apollographql.com/media/avatar/graph/c3Rhci13YXJzLXN3YXBp/Star_Wars_avatar_40px.png?id=4c2a62ea-7c3c-42fd-995d-20c47aa5d826
https://github.com/graphql-kit/graphql-apis,GitHub - graphql-kit/graphql-apis: 📜 A collective list of public GraphQL APIs,📜 A collective list of public GraphQL APIs. Contribute to graphql-kit/graphql-apis development by creating an account on GitHub.,images/3dc7cdcc9118a5af0c39395c8dafe5ae355423e2.png,https://opengraph.githubassets.com/137b3f86edf9be9ae218fad3a8f8758132eb47d62cb16e7072f8271f44a30e28/graphql-kit/graphql-apis
https://thenable.io/swapi-graphql,Let's Wrap the Star Wars API In GraphQL | Thenable,,,https://thenable.io/images/logo.svg
https://curl.se/,curl,curl: a command line tool and library for transferring data with URLs (since 1998),images/ea7b093ddb8d92ee657f30e0cd4d823bb48bb25e.svg,https://curl.se/logo/curl-logo.svg
https://httpie.io/,HTTPie – API testing client that flows with you,Making APIs simple and intuitive for those building the tools of our time.,images/868ac41748644d224f689cab20d9703e7fe35b3b.png,https://httpie.io/Images/Share/default.png
https://jqlang.github.io/jq/,jq - CLI JSON processor,jq is a lightweight and flexible command-line JSON processor.,images/jq.svg,
https://www.postman.com/home,Postman API Platform,Postman is an API platform for building and using APIs. Postman simplifies each step of the API lifecycle and streamlines collaboration so you can create better APIs—faster.,images/postman.svg,
https://www.usebruno.com/,Bruno - an Opensource API client,"Bruno is a Fast and Git-Friendly Opensource API client, aimed at revolutionizing the status quo represented by Postman, Insomnia and similar tools out there.",images/bruno.png,https://www.usebruno.com/images/landing-2.png
https://hoppscotch.io/,Hoppscotch • Open source API development ecosystem,"Helps you create requests faster, saving precious time on development.",images/hoppscotch.png,
https://insomnia.rest/,The Collaborative API Development Platform - Insomnia,"Leading Open Source API Development Platform for HTTP, REST, GraphQL, gRPC, SOAP, and WebSockets",images/insomnia.png,/images/open-graph-insomnia.png
https://www.openapis.org/,OpenAPI Initiative,"The OpenAPI Specification provides a formal standard for describing HTTP APIs. This allows people to understand how an API works, generate client code, create tests, apply design standards, and much, much more.",images/1497737d154b0bdeec63830420bc9a4e5090c723.png,https://www.openapis.org/wp-content/uploads/sites/3/2018/02/OpenAPI_Logo_Pantone-1.png
https://www.nps.gov/subjects/developer/customcf/swagger.json?03142019,National Park Service API Swagger Documentation,"This API is designed to provide authoritative National Park Service (NPS) data and content about parks and their facilities, events, news, alerts, and more.",images/nps.png,https://www.nps.gov/theme/assets/dist/images/branding/logo.png
https://www.nps.gov/subjects/developer/api-documentation.htm,API Documentation - Developer Resources (U.S. National Park Service),"This API is designed to provide authoritative National Park Service (NPS) data and content about parks and their facilities, events, news, alerts, and more. Explore the NPS API below and even try to make API calls.",images/nps.png,https://www.nps.gov/theme/assets/dist/images/branding/logo.png
https://api.swaggerhub.com/apis/NobelMedia/NobelMasterData/2.1,Nobel Prize Data API,"Obtain information about all Nobel Prizes or search for a specific set of Nobel Prizes. Note that not all information about the Laureates are provided in the output, as a request of making this endpoints response lighter. Call the laureates endpoint for full information.",images/nobelmedal.webp,
https://app.swaggerhub.com/apis/NobelMedia/NobelMasterData/2.1,"Build, Collaborate & Integrate APIs | SwaggerHub",Join thousands of developers who use SwaggerHub to build and design great APIs. Signup or login today.,images/nobelmedal.webp,
https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Statements/do...while,do...while - JavaScript | MDN,"The do...while statement creates a loop that executes a specified statement until the test condition evaluates to false. The condition is evaluated after executing the statement, resulting in the specified statement executing at least once.",images/7b96b904f10841e580d43a24b3872bc100d0b61f.png,https://developer.mozilla.org/mdn-social-share.cd6c4a5a.png
https://www.11ty.dev/docs/plugins/image/,Image — Eleventy,Image — Eleventy,images/eff0159b585631ded0269dbac24eada720acffb6.jpg,https://v1.screenshot.11ty.dev/https%3A%2F%2Fwww.11ty.dev%2Fdocs%2Fplugins%2Fimage%2F/opengraph/_cachebust/
https://developer.mozilla.org/en-US/docs/Learn/HTML/Multimedia_and_embedding/Responsive_images,Responsive images - Learn web development | MDN,"That's a wrap for responsive images — we hope you enjoyed playing with these new techniques. As a recap, there are two distinct problems we've been discussing here:",images/7b96b904f10841e580d43a24b3872bc100d0b61f.png,https://developer.mozilla.org/mdn-social-share.cd6c4a5a.png
https://dzone.com/articles/why-and-when-to-use-graphql-1,Why and When to Use GraphQL - DZone,This article makes the case for the use of Facebook-designed query language GraphQL and discusses its benefits as well as tis best use cases.,images/43a3f08946c133d35473d8e66e0faac793c06891.unknown,https://dz2cdn1.dzone.com/storage/article-thumb/12700841-thumb.jpg
https://www.apollographql.com/blog/why-use-graphql,Why use GraphQL? | Apollo GraphQL Blog,"Unlock microservices potential with Apollo GraphQL. Seamlessly integrate APIs, manage data, and enhance performance. Explore Apollo's innovative solutions.",images/7f70e92c49055603f7d69d36cd62bb80329e5345.png,https://wp.apollographql.com/wp-content/uploads/2020/11/39-1.png
https://www.mobilelive.ca/blog/graphql-vs-rest-what-you-didnt-know,GraphQL Vs REST API: A Comparison of Performance and Advantages,Is GraphQL better than REST? What is the biggest difference between GraphQL vs REST API? Learn everything you need to know.,images/ce40d8e45993c79a05f3bfaeeb13d42044dcaccf.jpg,https://www.mobilelive.ca/wp-content/uploads/2020/11/graph-qp-vs-rest-repost-1.jpg
https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/push,Array.prototype.push() - JavaScript | MDN,"The push() method of Array instances adds the specified elements to the end of an array and returns the new length of the array.",images/7b96b904f10841e580d43a24b3872bc100d0b61f.png,https://developer.mozilla.org/mdn-social-share.cd6c4a5a.png
https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/concat,Array.prototype.concat() - JavaScript | MDN,"The concat() method of Array instances is used to merge two or more arrays. This method does not change the existing arrays, but instead returns a new array.",images/7b96b904f10841e580d43a24b3872bc100d0b61f.png,https://developer.mozilla.org/mdn-social-share.cd6c4a5a.png
https://www.11ty.dev/docs/data-custom/,Custom Data File Formats — Eleventy,Custom Data File Formats — Eleventy,images/c9e1df72821cdd4547a87f91209792e77b72e684.jpg,https://v1.screenshot.11ty.dev/https%3A%2F%2Fwww.11ty.dev%2Fdocs%2Fdata-custom%2F/opengraph/_cachebust/
https://www.maxkohler.com/posts/eleventy-csv/,"How to use CSV data with Eleventy – Max Kohler",,,
https://www.npmjs.com/package/google-spreadsheet,google-spreadsheet - npm,"Google Sheets API -- simple interface to read/write data and manage sheets. Latest version: 4.1.1, last published: 4 months ago. Start using google-spreadsheet in your project by running `npm i google-spreadsheet`. There are 395 other projects in the npm registry using google-spreadsheet.",images/ff98e89bc12f4336344bcb82ca2f0b80b9032071.png,https://static-production.npmjs.com/338e4905a2684ca96e08c7780fc68412.png
